"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.479919037811296,0.983,0.937,0,"0","EEF1D"
0,0.40517691695827,0.988,0.948,0,"0","PFDN5"
0,0.894012376660332,0.998,0.959,0,"0","RPL31"
0,0.96375050264231,0.999,0.961,0,"0","RPL10A"
0,0.971605691221344,1,0.962,0,"0","RPL23"
0,0.926705606230313,0.999,0.964,0,"0","RPS10"
0,0.985399070781611,0.997,0.964,0,"0","RPL7"
0,0.713568392490092,0.997,0.965,0,"0","RPSA"
0,0.970551047193658,1,0.969,0,"0","RPS20"
0,0.755202410724973,1,0.97,0,"0","RPL27"
0,0.291063084759482,0.997,0.969,0,"0","TXNIP"
0,0.559040706603663,0.999,0.973,0,"0","RPL8"
0,1.03607911567282,0.999,0.975,0,"0","RPL5"
0,0.806362250548781,1,0.976,0,"0","RPS21"
0,0.923553089779856,1,0.978,0,"0","RPL22"
0,1.06991210487559,1,0.98,0,"0","RPS13"
0,0.657002296718062,0.999,0.983,0,"0","RPL24"
0,0.566254184325012,0.998,0.982,0,"0","NACA"
0,0.779224184146366,1,0.985,0,"0","RPL35A"
0,0.555144367148364,1,0.986,0,"0","RPS7"
0,0.703973753682001,1,0.986,0,"0","RPL12"
0,0.826154751190132,1,0.986,0,"0","RPS25"
0,0.548763516207348,0.999,0.986,0,"0","RPL15"
0,0.647016753450012,0.999,0.986,0,"0","RPL29"
0,0.53021535599587,0.999,0.986,0,"0","RPL7A"
0,0.70791458669472,0.999,0.986,0,"0","RPL6"
0,0.992397262157012,1,0.987,0,"0","RPL21"
0,0.518786172641721,0.998,0.985,0,"0","UBA52"
0,0.77539071849627,0.999,0.986,0,"0","RPS9"
0,1.08068942190157,1,0.988,0,"0","RPS3A"
0,0.474232991305357,1,0.988,0,"0","RPL23A"
0,0.863886394347462,0.999,0.987,0,"0","RPS16"
0,0.701391538041449,1,0.989,0,"0","RPS3"
0,0.506795711837166,1,0.989,0,"0","RPL26"
0,0.725640943203226,1,0.989,0,"0","RPL38"
0,0.660380737605512,1,0.989,0,"0","RPL36"
0,0.970820017938077,0.999,0.989,0,"0","RPL9"
0,0.908822266206706,1,0.99,0,"0","RPS4X"
0,0.535980637185402,0.999,0.989,0,"0","RPL35"
0,0.774828709671104,1,0.99,0,"0","RPL18"
0,0.535538492279942,1,0.99,0,"0","RPS11"
0,0.729253948448639,1,0.99,0,"0","RPL3"
0,1.04219615786617,1,0.991,0,"0","RPS8"
0,0.810777594685471,1,0.991,0,"0","RPS27A"
0,0.695188460257845,1,0.991,0,"0","RPL37A"
0,1.06579154717748,1,0.991,0,"0","RPS6"
0,0.355782689250282,0.999,0.99,0,"0","FAU"
0,0.723977801336357,1,0.991,0,"0","RPS15A"
0,0.581803587264703,1,0.992,0,"0","RPL14"
0,0.902425788295376,1,0.992,0,"0","RPS23"
0,0.914417463122178,1,0.992,0,"0","RPS14"
0,1.0234855725135,1,0.992,0,"0","RPS12"
0,0.733676298341628,1,0.992,0,"0","RPL39"
0,0.842424254752703,1,0.992,0,"0","RPLP2"
0,0.68207826236987,1,0.992,0,"0","RPL27A"
0,0.729702598968484,1,0.992,0,"0","RPS29"
0,0.712002866161847,1,0.992,0,"0","RPS2"
0,0.777717163456315,1,0.992,0,"0","RPS28"
0,0.636867384089428,1,0.992,0,"0","RPL18A"
0,0.390502907604115,1,0.993,0,"0","RPS24"
0,0.716654483060139,1,0.993,0,"0","RPL19"
0,0.499536915348423,1,0.993,0,"0","RPS15"
0,0.806362077201835,1,0.994,0,"0","RPL11"
0,0.888796982217274,1,0.994,0,"0","RPL32"
0,0.781510701294385,1,0.994,0,"0","RPL10"
0,0.835267201593666,1,0.994,0,"0","RPL30"
0,0.503324522191838,1,0.994,0,"0","RPL41"
0,0.631437300651998,1,0.994,0,"0","RPL13A"
0,0.884682789256635,1,0.995,0,"0","RPL34"
0,0.692716390244533,1,0.995,0,"0","RPL37"
0,0.820006131341056,1,0.996,0,"0","RPS18"
0,0.646480606775724,1,0.996,0,"0","RPLP1"
0,0.563935504340856,1,0.996,0,"0","RPS19"
0,0.503573914352844,1,0.996,0,"0","RPL28"
0,0.659880770586656,1,0.997,0,"0","RPS27"
0,0.88376479886805,1,0.997,0,"0","TPT1"
0,0.967849395896045,1,0.997,0,"0","RPL13"
0,0.760095151407833,1,0.998,0,"0","EEF1A1"
0,0.346385658094723,0.951,0.949,0,"0","RPS26"
6.66133814775094e-16,0.289293538683392,0.38,0.299,1.33306699012792e-11,"0","CCDC66"
3.11750625314744e-13,0.267433146630191,0.535,0.451,6.23875351379866e-09,"0","ATP5PO"
1.94022575783492e-12,0.270498615035795,0.38,0.312,3.88277978657925e-08,"0","EIF2A"
2.18647322469678e-12,0.26133608135431,0.28,0.217,4.3755702172632e-08,"0","PBXIP1"
4.54503101821047e-12,0.294753728759699,0.257,0.2,9.09551607364278e-08,"0","ABCE1"
0,1.60455815256249,0.974,0.516,0,"1","LTB"
0,1.04942970953618,0.91,0.472,0,"1","IL7R"
0,1.13862402475004,0.714,0.313,0,"1","RCAN3"
0,1.38988571638608,0.641,0.286,0,"1","ARID5B"
0,1.58012576891278,0.555,0.205,0,"1","MAL"
0,0.903072439926663,0.819,0.476,0,"1","TRAC"
0,1.74141082465719,0.541,0.209,0,"1","AC058791.1"
0,0.753980345260492,0.739,0.409,0,"1","TCF7"
0,0.387650950902017,0.935,0.613,0,"1","CD3D"
0,1.04406223554606,0.625,0.307,0,"1","BIRC3"
